"id","age","rec_syst","genre_preference","baseline_i","major_release","past_minutes_viewed","subscription","device_type","alive_i","minutes_viewed"
1,18.2,1,"Drama",1,"sports",27.350118071982,1,"Mobile",0,87.0562657366331
2,15.2,0,"Comedy",1,"celebrity",12.2728046102416,0,"Mobile",0,77.6278267103683
3,20.2,0,"Action",1,"sports",36.8710800314922,0,"Tablet",0,77.1745706055533
4,22.6,0,"Comedy",1,"celebrity",31.7062855362738,0,"Tablet",0,83.2160189238381
5,16.9,1,"Comedy",1,"news",26.7629104532862,1,"PC",0,70.7498855184756
6,18.5,1,"Comedy",1,"celebrity",43.1389540828069,0,"PC",0,93.4356959773591
7,18.1,1,"Action",1,"celebrity",32.3446701228953,0,"TV",0,101.518576106855
8,22.9,1,"Action",1,"celebrity",35.6475654207541,0,"TV",1,97.6662685187154
9,19.9,0,"Comedy",1,"news",24.962122685653,1,"PC",1,104.427756797082
10,14.5,1,"Comedy",1,"sports",37.0241605904983,1,"Mobile",1,90.5840480547668
11,16.1,0,"Action",1,"politics",20.7632358777986,1,"PC",1,85.3864237769941
12,17.8,0,"Drama",1,"news",29.6696050384916,0,"PC",0,96.7068534730561
13,20.5,1,"Comedy",1,"news",49.369823698817,0,"Mobile",0,88.0459305747983
14,19.5,0,"Romance",1,"sports",34.9398016120937,1,"PC",1,80.8832972870043
15,14.7,1,"Drama",1,"celebrity",20.1754826093238,1,"Mobile",1,102.295171603776
16,20.7,1,"Comedy",1,"celebrity",26.0454813672604,0,"Mobile",1,102.060798438334
17,20.6,0,"Comedy",1,"politics",18.3657865240907,1,"PC",0,68.9065262246792
18,20.1,0,"Action",1,"celebrity",29.3640765857389,1,"Tablet",1,87.7627511694536
19,11.8,1,"SciFi",1,"politics",19.2474783473595,1,"Mobile",1,89.3007411226893
20,20.9,1,"Action",1,"celebrity",37.6714328365941,0,"Tablet",1,107.75957166498
21,30.7,1,"Comedy",1,"celebrity",24.5830197920609,1,"TV",1,98.6974982407679
22,15.1,1,"Drama",1,"politics",41.4119169338798,0,"Mobile",1,91.2749792093539
23,23.3,0,"Action",1,"tech",15.3454426714665,0,"TV",0,67.2476559599236
24,22.1,0,"Action",0,"tech",26.4528975853992,0,"Mobile",0,64.7402375602245
25,17.4,0,"Drama",1,"celebrity",20.2590305436116,0,"Mobile",0,61.0618056310073
26,22.4,0,"Action",1,"politics",42.7394606804556,0,"Mobile",0,64.5878918915858
27,12.9,0,"Action",1,"sports",30.5427771332105,1,"PC",1,100.240979354231
28,21.3,1,"Comedy",1,"sports",36.473285567945,0,"Mobile",0,82.045923317754
29,22.2,0,"Action",1,"celebrity",10.4343118140025,0,"Mobile",1,91.432312759142
30,24.9,1,"Action",1,"politics",35.2067105726968,0,"TV",1,106.353095595503
31,19.2,1,"Romance",1,"sports",43.1477258776911,1,"Mobile",0,84.1267373566113
32,22.8,0,"Action",0,"celebrity",23.9742499071452,1,"TV",0,87.2722844135259
33,17.2,1,"Action",1,"sports",24.3684349373743,0,"Mobile",1,98.3248002919255
34,18.1,1,"Drama",1,"politics",40.1909708717902,0,"Mobile",0,78.0930362279546
35,12.9,0,"SciFi",1,"celebrity",23.0139176531295,1,"PC",1,97.8592424938302
36,20.8,0,"Drama",0,"celebrity",10.8619030842683,0,"Mobile",1,95.9766866064431
37,18.5,1,"Action",0,"sports",33.0837814602488,0,"Mobile",0,75.7100333145445
38,24.2,0,"Romance",1,"news",53.9304661044319,0,"Tablet",0,98.5251269487401
39,17,1,"Comedy",1,"sports",24.9501455084396,0,"Mobile",1,117.668432430662
40,14.6,1,"Comedy",1,"celebrity",20.2739958286454,0,"PC",0,94.1723968354011
41,17.9,1,"Comedy",1,"celebrity",21.723451828572,0,"PC",0,88.5034084429385
42,25.6,1,"Drama",1,"celebrity",33.6938667412078,1,"TV",1,84.0469441931854
43,20.7,1,"Comedy",1,"news",26.8341957934466,1,"Mobile",1,106.804062129152
44,19.8,0,"Action",1,"politics",41.1510665736072,1,"Mobile",1,70.8047097584784
45,19.1,1,"Comedy",1,"sports",45.2911165937505,0,"TV",0,82.5739968869397
46,25.9,1,"Drama",1,"sports",24.1527269093248,1,"Mobile",0,76.7964832430301
47,20.9,0,"Action",1,"tech",16.7107307274429,1,"TV",0,62.8443756161818
48,20.4,0,"Comedy",1,"tech",27.7952062942484,0,"Mobile",1,69.3942957115086
49,14.5,1,"Action",1,"politics",27.5197310642171,1,"Tablet",1,83.0326457816686
50,16.1,1,"Drama",1,"news",42.0390114231374,0,"Tablet",0,87.9583256622834
51,21,0,"Drama",1,"news",27.7858086993872,1,"Mobile",1,108.476710763516
52,15.6,1,"Romance",1,"sports",39.7927816100817,0,"PC",0,74.1066966550239
53,21.6,0,"Comedy",0,"celebrity",37.3098920591122,0,"Mobile",0,84.9604520850978
54,16,0,"Action",1,"celebrity",31.014340917181,1,"Tablet",0,91.8687001368376
55,20.4,0,"Comedy",0,"sports",36.8284323560821,0,"PC",0,101.110442060219
56,23.8,1,"Drama",1,"sports",22.6465921293642,0,"Tablet",1,100.90663148098
57,12.8,0,"SciFi",1,"politics",47.0715970330852,0,"Tablet",1,90.7141738551131
58,21.2,1,"SciFi",1,"sports",42.6120777131603,1,"PC",1,106.645127119473
59,30.2,0,"Action",1,"politics",21.8436849433085,1,"TV",0,71.7557002414838
60,16.6,1,"Action",1,"news",39.3704051593301,0,"PC",1,107.396406703727
61,22.2,0,"Comedy",1,"politics",36.9881103280286,1,"PC",0,82.3366040094296
62,18.4,1,"Romance",1,"celebrity",25.1552552285139,0,"Mobile",0,97.818170121863
63,24.9,0,"Romance",1,"news",35.699904549326,0,"PC",1,105.427428981255
64,24.8,0,"Action",1,"politics",29.9318932653153,1,"PC",1,96.5069724219245
65,18,1,"SciFi",1,"celebrity",21.2855648327429,1,"Mobile",1,114.639266486857
66,18.8,0,"Comedy",1,"sports",46.3668432093277,0,"PC",0,94.4559568076966
67,17.7,0,"Drama",0,"sports",25.4140227076236,0,"TV",1,95.9431387101105
68,26.5,0,"SciFi",1,"celebrity",24.2571839074471,1,"Mobile",1,94.8098672678559
69,16.2,0,"Comedy",1,"sports",34.7988373384421,0,"PC",0,86.7769782575373
70,20.2,0,"Drama",1,"celebrity",33.5546194478417,1,"Tablet",1,77.4785552535959
71,14,1,"Action",1,"celebrity",40.9751102545446,0,"Tablet",0,95.27825207161
72,22.6,0,"Comedy",1,"politics",19.2503726497953,1,"Mobile",1,68.6054293616759
73,21.1,1,"Comedy",1,"celebrity",19.6845630062532,0,"TV",0,82.9213701177554
74,25.6,1,"Action",1,"politics",20.7305925113739,0,"PC",0,70.729955371495
75,19.4,0,"Comedy",1,"sports",35.0877324258526,0,"PC",0,89.786214975088
76,18.2,0,"SciFi",1,"sports",47.5832659584039,0,"Mobile",1,126.704836011046
77,20.7,0,"Drama",1,"news",36.1448745006368,0,"Mobile",0,85.1139048382991
78,25.6,0,"Action",1,"news",28.3384388935669,0,"Mobile",0,69.3007834987714
79,22.9,0,"Action",1,"celebrity",21.5839377741843,1,"Mobile",1,97.6581081628577
80,21.3,0,"Drama",1,"tech",24.8166104432962,0,"PC",0,78.2505917627665
81,24.7,1,"Romance",1,"celebrity",40.4140732511809,1,"Mobile",1,108.251861871515
82,21,0,"Action",1,"news",39.2136712841399,0,"Tablet",0,99.6039594836498
83,18.6,1,"SciFi",1,"celebrity",25.7750101715275,1,"PC",1,101.714751779906
84,25.5,1,"Drama",1,"sports",33.5339090702685,0,"Mobile",0,84.8225376832464
85,21.6,0,"Comedy",1,"sports",39.444788412801,1,"PC",0,87.1627333952964
86,19.5,1,"Comedy",1,"tech",23.3921327933146,0,"Mobile",0,67.4612285532017
87,19.7,0,"Romance",1,"politics",35.642111661655,0,"PC",0,77.0652512549385
88,10.7,0,"Romance",0,"tech",58.8512536139859,0,"Mobile",1,105.655864901466
89,15.8,0,"SciFi",1,"sports",36.7309217216168,0,"TV",1,89.0920664622842
90,28.2,0,"Drama",1,"politics",29.193399949111,0,"PC",0,67.7476812563009
